0,00000006
0,007188
0,008119
0,011645
0,015495
0,020428
0,023378
0,027371
0,031066
0,035398
0,039275
0,000006
0,004578
0,009172
0,013752
0,018339
0,023246
0,027728
0,032267
0,03685
0,041134
0,045687
0,000006
0,005091
0,010181
0,015657
0,021437
0,025595
0,031272
0,037141
0,041999
0,047242
0,052618
0
0,005913
0,011845
0,017714
0,023659
0,029562
0,035571
0,042001
0,047224
0,053864
0,059112
0
0,006559
0,013152
0,020171
0,026269
0,032926
0,039815
0,04612
0,053145
0,059315
0,065719
0,000006
0,007656
0,015293
0,02296
0,030596
0,038287
0,046052
0,053618
0,061305
0,068919
0,077479
0
0,008469
0,016955
0,025397
0,033941
0,042355
0,05084
0,059426
0,067839
0,076315
0,086183
0,000006
0,00904
0,018093
0,027072
0,03667
0,045141
0,054138
0,063155
0,072585
0,081208
0,090099
0,000006
0,009718
0,019527
0,029383
0,038974
0,048721
0,058631
0,068246
0,078018
0,087664
0,097768
